video_description	effect_info_list	id	video_label	create_time	is_stem_verified	hashtag_info_list	hashtag_names	like_count	share_count	sticker_info_list	video_duration	username	view_count	video_mention_list	video_tag	region_code	voice_to_text	comment_count	favorites_count	playlist_id	effect_ids	music_id
"@just.._me0 antworten #asmrbücher #booksounds #asmrbooksounds #asmrfyp #fyp #fypシ #notalking"		"7059079005693152517"	"{'vote': False, 'warn': False, 'content': '', 'sink': False, 'type': 0}"	"1643569909"	"False"	"[{'hashtag_description': '', 'hashtag_id': 229207, 'hashtag_name': 'fyp'}, {'hashtag_name': 'fypシ', 'hashtag_description': '', 'hashtag_id': 1637342470396934}, {'hashtag_description': '', 'hashtag_id': 29546, 'hashtag_name': 'notalking'}, {'hashtag_description': '', 'hashtag_id': 7059076786620989445, 'hashtag_name': 'asmrbücher'}, {'hashtag_description': '', 'hashtag_id': 70321889, 'hashtag_name': 'booksounds'}, {'hashtag_description': '', 'hashtag_id': 1693515785134085, 'hashtag_name': 'asmrbooksounds'}, {'hashtag_description': '', 'hashtag_id': 1635201890205702, 'hashtag_name': 'asmrfyp'}]"	"['notalking', 'fyp', 'booksounds', 'asmrfyp', 'fypシ', 'asmrbooksounds', 'asmrbücher']"	"55"	"12"	"[{'sticker_id': 4, 'sticker_name': ''}]"	"114"	"asmr_mic07"	"939"	"['greta']"		"DE"		"12"	"1"		"nan"	"7059079004309670662"
"Book atmosphere ✨ #recommendations #book #booksounds #bookrecommendations #atmosphere #рек #рекомендации #книги"		"7058739217416916230"	"{'sink': False, 'type': 0, 'vote': False, 'warn': False, 'content': ''}"	"1643490796"	"False"	"[{'hashtag_description': '', 'hashtag_id': 1968, 'hashtag_name': 'atmosphere'}, {'hashtag_description': '', 'hashtag_id': 94639, 'hashtag_name': 'book'}, {'hashtag_description': '', 'hashtag_id': 14202173, 'hashtag_name': 'книги'}, {'hashtag_description': '', 'hashtag_id': 783626, 'hashtag_name': 'recommendations'}, {'hashtag_description': 'Thank you to all who participated in the Book Recommendations Post Contest! Check out the winner showcase here: https://vt.tiktok.com/ZMA9fBqpn/', 'hashtag_id': 58993759, 'hashtag_name': 'BookRecommendations'}, {'hashtag_description': '', 'hashtag_id': 50321361, 'hashtag_name': 'рек'}, {'hashtag_description': '', 'hashtag_id': 70321889, 'hashtag_name': 'booksounds'}, {'hashtag_description': '', 'hashtag_id': 49711363, 'hashtag_name': 'рекомендации'}]"	"['atmosphere', 'book', 'recommendations', 'книги', 'рекомендации', 'рек', 'bookrecommendations', 'booksounds']"	"13"	"0"	"nan"	"23"	"mariadeshchenko"	"762"	"[]"		"UA"		"1"	"0"		"['0']"	"7058739212661328645"
"another old draft from august! #bookasmr #asmr #bookshelforganization #books #booktok #bookorganization #bookshelf #booksounds #bookish"		"7057559381604535598"	"{'warn': False, 'content': '', 'sink': False, 'type': 0, 'vote': False}"	"1643216095"	"False"	"[{'hashtag_description': '', 'hashtag_id': 70321889, 'hashtag_name': 'booksounds'}, {'hashtag_id': 47765848, 'hashtag_name': 'bookasmr', 'hashtag_description': ''}, {'hashtag_name': 'bookshelforganization', 'hashtag_description': '', 'hashtag_id': 1667328607165446}, {'hashtag_description': '', 'hashtag_id': 17861, 'hashtag_name': 'books'}, {'hashtag_description': '', 'hashtag_id': 5954791, 'hashtag_name': 'bookshelf'}, {'hashtag_description': '', 'hashtag_id': 1662565322761221, 'hashtag_name': 'bookorganization'}, {'hashtag_id': 1622962893630470, 'hashtag_name': 'BookTok', 'hashtag_description': 'Calling all book lovers, join the #BookTok Post Contest from April 13th to May 11th for a chance to win $3000! Click here to join: https://vt.tiktok.com/ZSHgdjSGp/'}, {'hashtag_name': 'Bookish', 'hashtag_description': "To celebrate Book Lover's Day, show us some of your #bookish habits  📚💚", 'hashtag_id': 3133261}, {'hashtag_description': 'All the soothing sounds you need to massage your brain.', 'hashtag_id': 1248236, 'hashtag_name': 'ASMR'}]"	"['books', 'asmr', 'bookish', 'bookshelf', 'bookasmr', 'booksounds', 'booktok', 'bookorganization', 'bookshelforganization']"	"41"	"2"	"nan"	"32"	"juliaashleyreads"	"544"	"[]"		"US"		"0"	"2"		"['0']"	"7057559320724245295"
"#remindersofhim #colleenhoover #booktok #booksounds"		"7056622182730026287"	"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}"	"1642997886"	"False"	"[{'hashtag_id': 1698472640504838, 'hashtag_name': 'remindersofhim', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 20668932, 'hashtag_name': 'colleenhoover'}, {'hashtag_description': 'Calling all book lovers, join the #BookTok Post Contest from April 13th to May 11th for a chance to win $3000! Click here to join: https://vt.tiktok.com/ZSHgdjSGp/', 'hashtag_id': 1622962893630470, 'hashtag_name': 'BookTok'}, {'hashtag_name': 'booksounds', 'hashtag_description': '', 'hashtag_id': 70321889}]"	"['colleenhoover', 'booksounds', 'booktok', 'remindersofhim']"	"4"	"0"	"nan"	"10"	"loveandcats1"	"707"	"[]"		"US"		"0"	"1"		"['0']"	"222620796777562112"
"#booktapping #asmr #asmrtracing #asmrvideo #asmrforrelaxing #asmrsleep #asmrtingles #asmrrelax #booksounds #atomichabits #fyp"		"7056276955989314863"	"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}"	"1642917506"	"False"	"[{'hashtag_name': 'booktapping', 'hashtag_description': '', 'hashtag_id': 71831175}, {'hashtag_description': 'All the soothing sounds you need to massage your brain.', 'hashtag_id': 1248236, 'hashtag_name': 'ASMR'}, {'hashtag_description': '', 'hashtag_id': 73039193, 'hashtag_name': 'asmrsleep'}, {'hashtag_description': '', 'hashtag_id': 18428217, 'hashtag_name': 'asmrtingles'}, {'hashtag_description': '', 'hashtag_id': 1644090070605830, 'hashtag_name': 'asmrforrelaxing'}, {'hashtag_id': 70321889, 'hashtag_name': 'booksounds', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 229207, 'hashtag_name': 'fyp'}, {'hashtag_name': 'atomichabits', 'hashtag_description': '', 'hashtag_id': 1643046202362886}, {'hashtag_id': 1632167237337093, 'hashtag_name': 'asmrtracing', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 35830639, 'hashtag_name': 'asmrvideo'}, {'hashtag_id': 72001637, 'hashtag_name': 'asmrrelax', 'hashtag_description': ''}]"	"['fyp', 'asmr', 'asmrtingles', 'asmrvideo', 'booksounds', 'booktapping', 'asmrrelax', 'asmrsleep', 'asmrtracing', 'atomichabits', 'asmrforrelaxing']"	"22"	"0"	"nan"	"59"	"fiialtawh"	"913"	"[]"		"US"		"1"	"3"		"['0']"	"7056276929342753583"
"Reply to @bookishliv longer sound! (Cute baby bit found at the library 🤣 #booksounds #kebooksongs #libraryhaul #picturebooks #kekidlit"		"7055758140624801071"	"{'vote': False, 'warn': False, 'content': '', 'sink': False, 'type': 0}"	"1642796710"	"False"	"[{'hashtag_name': 'libraryhaul', 'hashtag_description': '', 'hashtag_id': 1627202978734086}, {'hashtag_description': '', 'hashtag_id': 46042611, 'hashtag_name': 'picturebooks'}, {'hashtag_name': 'kekidlit', 'hashtag_description': '', 'hashtag_id': 1687734714162181}, {'hashtag_description': '', 'hashtag_id': 70321889, 'hashtag_name': 'booksounds'}, {'hashtag_description': '', 'hashtag_id': 1665547613271045, 'hashtag_name': 'kebooksongs'}]"	"['picturebooks', 'booksounds', 'libraryhaul', 'kebooksongs', 'kekidlit']"	"245"	"1"	"[{'sticker_id': 4, 'sticker_name': ''}]"	"12"	"kathyellendavis"	"3148"	"['Olivia']"		"US"		"4"	"4"		"['0']"	"7055758122127837999"
"#asmr #asmrsounds #booksounds #scratching #scratchingasmr #tappingasmr"		"7055716522475588910"	"{'type': 0, 'vote': False, 'warn': False, 'content': '', 'sink': False}"	"1642787020"	"False"	"[{'hashtag_description': '', 'hashtag_id': 379451, 'hashtag_name': 'scratching'}, {'hashtag_description': '', 'hashtag_id': 49742063, 'hashtag_name': 'scratchingasmr'}, {'hashtag_description': '', 'hashtag_id': 39387219, 'hashtag_name': 'tappingasmr'}, {'hashtag_description': 'All the soothing sounds you need to massage your brain.', 'hashtag_id': 1248236, 'hashtag_name': 'ASMR'}, {'hashtag_id': 17764927, 'hashtag_name': 'asmrsounds', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 70321889, 'hashtag_name': 'booksounds'}]"	"['scratching', 'asmr', 'asmrsounds', 'tappingasmr', 'scratchingasmr', 'booksounds']"	"16"	"1"	"nan"	"52"	"healingsoundasmr"	"211"	"[]"		"US"		"2"	"0"		"['0']"	"7055716501537491758"
"#tb from my drafts to when i reorganized my bookshelf in august! #bookasmr #asmr #bookshelforganization #books #booktok #bookorganization #booksounds"		"7055384739741535534"	"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}"	"1642709771"	"False"	"[{'hashtag_description': 'All the soothing sounds you need to massage your brain.', 'hashtag_id': 1248236, 'hashtag_name': 'ASMR'}, {'hashtag_description': '', 'hashtag_id': 17861, 'hashtag_name': 'books'}, {'hashtag_description': 'Calling all book lovers, join the #BookTok Post Contest from April 13th to May 11th for a chance to win $3000! Click here to join: https://vt.tiktok.com/ZSHgdjSGp/', 'hashtag_id': 1622962893630470, 'hashtag_name': 'BookTok'}, {'hashtag_description': '', 'hashtag_id': 1662565322761221, 'hashtag_name': 'bookorganization'}, {'hashtag_name': 'booksounds', 'hashtag_description': '', 'hashtag_id': 70321889}, {'hashtag_description': '', 'hashtag_id': 5340, 'hashtag_name': 'tb'}, {'hashtag_description': '', 'hashtag_id': 47765848, 'hashtag_name': 'bookasmr'}, {'hashtag_description': '', 'hashtag_id': 1667328607165446, 'hashtag_name': 'bookshelforganization'}]"	"['tb', 'books', 'asmr', 'bookasmr', 'booksounds', 'booktok', 'bookorganization', 'bookshelforganization']"	"33"	"1"	"nan"	"53"	"juliaashleyreads"	"837"	"[]"		"US"		"2"	"2"		"['0']"	"7055384723379473198"
"#ASMR #Asmrtrigger #asmrsounds #tappingasmr #booktapping #booksounds #bookasmr #asmrtapping #asmrtappingsounds #pageflippingasmr #tracingasmr #tracing"		"7054943259327565062"	"{'type': 0, 'vote': False, 'warn': False, 'content': '', 'sink': False}"	"1642606981"	"False"	"[{'hashtag_id': 1595388183085061, 'hashtag_name': 'pageflippingasmr', 'hashtag_description': ''}, {'hashtag_description': 'All the soothing sounds you need to massage your brain.', 'hashtag_id': 1248236, 'hashtag_name': 'ASMR'}, {'hashtag_description': '', 'hashtag_id': 39387219, 'hashtag_name': 'tappingasmr'}, {'hashtag_description': '', 'hashtag_id': 70321889, 'hashtag_name': 'booksounds'}, {'hashtag_id': 59990033, 'hashtag_name': 'asmrtrigger', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 5438901, 'hashtag_name': 'tracing'}, {'hashtag_description': '', 'hashtag_id': 17764927, 'hashtag_name': 'asmrsounds'}, {'hashtag_description': '', 'hashtag_id': 71831175, 'hashtag_name': 'booktapping'}, {'hashtag_description': '', 'hashtag_id': 39387218, 'hashtag_name': 'asmrtapping'}, {'hashtag_description': '', 'hashtag_id': 1668052689814534, 'hashtag_name': 'tracingasmr'}, {'hashtag_id': 47765848, 'hashtag_name': 'bookasmr', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 65934055, 'hashtag_name': 'asmrtappingsounds'}]"	"['asmr', 'tracing', 'asmrsounds', 'asmrtapping', 'tappingasmr', 'bookasmr', 'asmrtrigger', 'asmrtappingsounds', 'booksounds', 'booktapping', 'pageflippingasmr', 'tracingasmr']"	"14"	"0"	"nan"	"180"	"asmr.dany"	"746"	"[]"		"DE"		"0"	"4"		"['0']"	"7054943283667110662"
"#fairyloot #bookasmr #asmr #satisfying #relax #booktok #booktapping #booksounds #yearofthereaper #books #booklife #asmrsounds #asmrtingles #asmrtok"		"7052210377400044847"	"{'type': 0, 'vote': False, 'warn': False, 'content': '', 'sink': False}"	"1641970683"	"False"	"[{'hashtag_description': 'Calling all book lovers, join the #BookTok Post Contest from April 13th to May 11th for a chance to win $3000! Click here to join: https://vt.tiktok.com/ZSHgdjSGp/', 'hashtag_id': 1622962893630470, 'hashtag_name': 'BookTok'}, {'hashtag_description': '', 'hashtag_id': 319127, 'hashtag_name': 'satisfying'}, {'hashtag_name': 'booklife', 'hashtag_description': '', 'hashtag_id': 1641455}, {'hashtag_description': '', 'hashtag_id': 1658284197640198, 'hashtag_name': 'yearofthereaper'}, {'hashtag_description': '', 'hashtag_id': 17861, 'hashtag_name': 'books'}, {'hashtag_description': '', 'hashtag_id': 47765848, 'hashtag_name': 'bookasmr'}, {'hashtag_description': '', 'hashtag_id': 20550, 'hashtag_name': 'Relax'}, {'hashtag_description': '', 'hashtag_id': 17764927, 'hashtag_name': 'asmrsounds'}, {'hashtag_description': '', 'hashtag_id': 1673786945262597, 'hashtag_name': 'asmrtok'}, {'hashtag_name': 'ASMR', 'hashtag_description': 'All the soothing sounds you need to massage your brain.', 'hashtag_id': 1248236}, {'hashtag_id': 71831175, 'hashtag_name': 'booktapping', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 70321889, 'hashtag_name': 'booksounds'}, {'hashtag_name': 'asmrtingles', 'hashtag_description': '', 'hashtag_id': 18428217}, {'hashtag_description': '', 'hashtag_id': 1636513601846278, 'hashtag_name': 'fairyloot'}]"	"['books', 'relax', 'satisfying', 'asmr', 'booklife', 'asmrsounds', 'asmrtingles', 'bookasmr', 'booksounds', 'booktapping', 'booktok', 'fairyloot', 'yearofthereaper', 'asmrtok']"	"7"	"0"	"nan"	"150"	"biitvasmr"	"157"	"[]"		"US"		"1"	"0"		"nan"	"7052210274803321646"
